Nx;Result;Time (s);Flags;Threads
512;0.0402737;2.50791;Puramente_serial;1
1024;0.0578281;9.94618;Puramente_serial;1
2048;0.0820855;39.9942;Puramente_serial;1
512;0.0402737;2.00272;-O3;1
1024;0.0578281;8.15924;-O3;1
2048;0.0820855;33.1353;-O3;1
512;0.0402737;2.5032;-fopenmp;1
1024;0.0578281;10.0892;-fopenmp;1
2048;0.0820855;40.2826;-fopenmp;1
512;0.0402737;1.35368;-fopenmp;2
1024;0.0578281;5.2317;-fopenmp;2
2048;0.0820855;20.6534;-fopenmp;2
512;0.0402737;0.940208;-fopenmp;3
1024;0.0578281;3.51588;-fopenmp;3
2048;0.0820855;13.8746;-fopenmp;3
512;0.0402737;0.735555;-fopenmp;4
1024;0.0578281;2.70212;-fopenmp;4
2048;0.0820855;10.5035;-fopenmp;4
512;0.0402737;0.749888;-fopenmp;5
1024;0.0578281;2.25349;-fopenmp;5
2048;0.0820855;8.64336;-fopenmp;5
512;0.0402739;0.619139;-fopenmp;6
1024;0.0578281;2.02746;-fopenmp;6
2048;0.0820855;7.48376;-fopenmp;6
512;0.0402741;0.728476;-fopenmp;7
1024;0.0578282;2.61756;-fopenmp;7
2048;0.0820855;9.85792;-fopenmp;7
512;0.0402749;0.689013;-fopenmp;8
1024;0.0578272;2.38987;-fopenmp;8
2048;0.0820855;9.1242;-fopenmp;8
512;0.0402737;2.04483;-fopenmp,-03;1
1024;0.0578281;8.30995;-fopenmp,-03;1
2048;0.0820855;33.0283;-fopenmp,-03;1
512;0.0402737;1.05358;-fopenmp,-03;2
1024;0.0578281;4.21164;-fopenmp,-03;2
2048;0.0820855;17.0142;-fopenmp,-03;2
512;0.0402737;0.754891;-fopenmp,-03;3
1024;0.0578281;2.95986;-fopenmp,-03;3
2048;0.0820855;11.8014;-fopenmp,-03;3
512;0.0402737;0.580107;-fopenmp,-03;4
1024;0.0578281;2.29288;-fopenmp,-03;4
2048;0.0820855;9.09102;-fopenmp,-03;4
512;0.0402738;0.512944;-fopenmp,-03;5
1024;0.0578281;1.84182;-fopenmp,-03;5
2048;0.0820855;7.1528;-fopenmp,-03;5
512;0.0402737;0.467905;-fopenmp,-03;6
1024;0.0578281;1.7607;-fopenmp,-03;6
2048;0.0820855;6.19708;-fopenmp,-03;6
512;0.0402741;0.503468;-fopenmp,-03;7
1024;0.0578282;1.88129;-fopenmp,-03;7
2048;0.0820866;7.22941;-fopenmp,-03;7
512;0.0402683;0.526695;-fopenmp,-03;8
1024;0.0578284;1.72997;-fopenmp,-03;8
2048;0.0820855;6.32261;-fopenmp,-03;8
